pars,par_value_min,par_value_max,strategy,Cost_min,Cost_max,Inc_Cost_min,Inc_Cost_max
coverage_ABCWY,0.7072,1,MenC,2670.139060542352,2670.139060542352,0,0
coverage_ABCWY,0.7072,1,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
coverage_ABCWY,0.7072,1,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
coverage_ABCWY,0.7072,1,MenABCWY,5699.594735496705,7990.266735496703,3029.4556749543526,5320.127674954351
coverage_ACWY,0.7072,1,MenC,2670.139060542352,2670.139060542352,0,0
coverage_ACWY,0.7072,1,MenACWY,4287.0514469123655,5992.123446912365,1616.9123863700133,3321.9843863700125
coverage_ACWY,0.7072,1,MenACWY_MenB,19913.220956950132,21618.292956950132,17243.08189640778,18948.15389640778
coverage_ACWY,0.7072,1,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
coverage_C,0.7072,1,MenC,2170.973727209019,2997.6457272090192,0,0
coverage_C,0.7072,1,MenACWY,5316.6167802456985,5316.6167802456985,3145.6430530366792,2318.971053036679
coverage_C,0.7072,1,MenACWY_MenB,20942.786290283464,20942.786290283464,18771.812563074443,17945.140563074445
coverage_C,0.7072,1,MenABCWY,7082.760068830038,7082.760068830038,4911.786341621018,4085.114341621019
coverage_B,0.4776,0.7163999999999999,MenC,2670.139060542352,2670.139060542352,0,0
coverage_B,0.4776,0.7163999999999999,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
coverage_B,0.4776,0.7163999999999999,MenACWY_MenB,17816.85912724476,24068.713453322172,15146.720066702408,21398.57439277982
coverage_B,0.4776,0.7163999999999999,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
mult_p_B,0.5,1.5,MenC,2632.4015078983603,2707.875250726772,0,0
mult_p_B,0.5,1.5,MenACWY,5278.8790462581865,5354.353151767313,2646.477538359826,2646.477901040541
mult_p_B,0.5,1.5,MenACWY_MenB,20906.78165563597,20978.789668935373,18274.380147737607,18270.914418208602
mult_p_B,0.5,1.5,MenABCWY,7045.950659804471,7119.568176878253,4413.549151906111,4411.6929261514815
mult_p_C,0.5,1.5,MenC,2665.109179201948,2675.1689148052205,0,0
mult_p_C,0.5,1.5,MenACWY,5311.586873865229,5321.646659548496,2646.477694663281,2646.4777447432757
mult_p_C,0.5,1.5,MenACWY_MenB,20937.756369051836,20947.816184437346,18272.64718984989,18272.647269632125
mult_p_C,0.5,1.5,MenABCWY,7077.730154015027,7087.789956567334,4412.62097481308,4412.621041762113
mult_p_W,0.5,1.5,MenC,2649.6006466558056,2690.6770298844094,0,0
mult_p_W,0.5,1.5,MenACWY,5297.03550860524,5336.1976418439735,2647.434861949434,2645.520611959564
mult_p_W,0.5,1.5,MenACWY_MenB,20923.204960841907,20962.367209681644,18273.6043141861,18271.690179797235
mult_p_W,0.5,1.5,MenABCWY,7063.178764333454,7102.340963283754,4413.578117677648,4411.663933399344
mult_p_Y,0.5,1.5,MenC,2646.2951483962765,2693.982378425919,0,0
mult_p_Y,0.5,1.5,MenACWY,5294.576707776314,5338.656332163351,2648.2815593800374,2644.6739537374324
mult_p_Y,0.5,1.5,MenACWY_MenB,20920.74615330551,20964.825906708193,18274.451004909235,18270.843528282276
mult_p_Y,0.5,1.5,MenABCWY,7060.71995946999,7104.799657637488,4414.4248110737135,4410.817279211569
mult_cfr_B,0.5,1.5,MenC,2670.139060542352,2670.139060542352,0,0
mult_cfr_B,0.5,1.5,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
mult_cfr_B,0.5,1.5,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
mult_cfr_B,0.5,1.5,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
mult_cfr_C,0.5,1.5,MenC,2670.139060542352,2670.139060542352,0,0
mult_cfr_C,0.5,1.5,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
mult_cfr_C,0.5,1.5,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
mult_cfr_C,0.5,1.5,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
mult_cfr_W,0.5,1.5,MenC,2670.139060542352,2670.139060542352,0,0
mult_cfr_W,0.5,1.5,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
mult_cfr_W,0.5,1.5,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
mult_cfr_W,0.5,1.5,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
mult_cfr_Y,0.5,1.5,MenC,2670.139060542352,2670.139060542352,0,0
mult_cfr_Y,0.5,1.5,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
mult_cfr_Y,0.5,1.5,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
mult_cfr_Y,0.5,1.5,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
ve_scale_B,0.8,1.2,MenC,2670.139060542352,2670.139060542352,0,0
ve_scale_B,0.8,1.2,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
ve_scale_B,0.8,1.2,MenACWY_MenB,20943.479551826884,20942.09302848392,18273.340491284533,18271.95396794157
ve_scale_B,0.8,1.2,MenABCWY,7083.131411325454,7082.3887262284825,4412.992350783102,4412.24966568613
ve_scale_C,0.8,1.2,MenC,2670.2686997761257,2670.009421294697,0,0
ve_scale_C,0.8,1.2,MenACWY,5316.746420054527,5316.487140422987,2646.4777202784016,2646.47771912829
ve_scale_C,0.8,1.2,MenACWY_MenB,20942.915930464245,20942.656650088804,18272.64723068812,18272.647228794107
ve_scale_C,0.8,1.2,MenABCWY,7082.889708836292,7082.630428809904,4412.621009060166,4412.621007515207
ve_scale_W,0.8,1.2,MenC,2670.139060542352,2670.139060542352,0,0
ve_scale_W,0.8,1.2,MenACWY,5316.999670796883,5316.233889583686,2646.860610254531,2646.0948290413335
ve_scale_W,0.8,1.2,MenACWY_MenB,20943.169181864287,20942.403398591818,18273.030121321935,18272.264338049466
ve_scale_W,0.8,1.2,MenABCWY,7083.14295996228,7082.37717758697,4413.003899419928,4412.238117044618
ve_scale_Y,0.8,1.2,MenC,2670.139060542352,2670.139060542352,0,0
ve_scale_Y,0.8,1.2,MenACWY,5317.338347828254,5315.89521226329,2647.199287285902,2645.756151720938
ve_scale_Y,0.8,1.2,MenACWY_MenB,20943.507859827292,20942.064720339786,18273.36879928494,18271.925659797434
ve_scale_Y,0.8,1.2,MenABCWY,7083.481637506891,7082.038499753334,4413.342576964539,4411.899439210982
mult_bg_mort,0.8,1.2,MenC,2673.3758771740418,2667.3020848826463,0,0
mult_bg_mort,0.8,1.2,MenACWY,5319.85294563917,5313.780457731936,2646.477068465128,2646.4783728492894
mult_bg_mort,0.8,1.2,MenACWY_MenB,20946.021681807768,20939.950742684206,18272.645804633725,18272.64865780156
mult_bg_mort,0.8,1.2,MenABCWY,7085.996179496076,7079.923801715138,4412.620302322035,4412.621716832492
mult_c_IMD,0.5,1.5,MenC,2582.9828636045095,2757.2952574801952,0,0
mult_c_IMD,0.5,1.5,MenACWY,5232.221723456182,5401.011837035214,2649.2388598516727,2643.7165795550186
mult_c_IMD,0.5,1.5,MenACWY_MenB,20860.12438607183,21025.4481944951,18277.141522467322,18268.152937014904
mult_c_IMD,0.5,1.5,MenABCWY,6999.2933677483525,7166.226769911726,4416.310504143843,4408.931512431531
p_seq_overall,0.2,0.3,MenC,2670.139060542352,2670.139060542352,0,0
p_seq_overall,0.2,0.3,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
p_seq_overall,0.2,0.3,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
p_seq_overall,0.2,0.3,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_IMD,0.86,0.9600000000000001,MenC,2670.139060542352,2670.139060542352,0,0
u_IMD,0.86,0.9600000000000001,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_IMD,0.86,0.9600000000000001,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_IMD,0.86,0.9600000000000001,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Scarring,0.8999999999999999,0.99,MenC,2670.139060542352,2670.139060542352,0,0
u_Scarring,0.8999999999999999,0.99,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Scarring,0.8999999999999999,0.99,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Scarring,0.8999999999999999,0.99,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Single_Amput,0.6499999999999999,0.75,MenC,2670.139060542352,2670.139060542352,0,0
u_Single_Amput,0.6499999999999999,0.75,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Single_Amput,0.6499999999999999,0.75,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Single_Amput,0.6499999999999999,0.75,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Multiple_Amput,0.5599999999999999,0.66,MenC,2670.139060542352,2670.139060542352,0,0
u_Multiple_Amput,0.5599999999999999,0.66,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Multiple_Amput,0.5599999999999999,0.66,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Multiple_Amput,0.5599999999999999,0.66,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Neuro_Disability,0.01,0.11,MenC,2670.139060542352,2670.139060542352,0,0
u_Neuro_Disability,0.01,0.11,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Neuro_Disability,0.01,0.11,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Neuro_Disability,0.01,0.11,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Hearing_Loss,0.6699999999999999,0.77,MenC,2670.139060542352,2670.139060542352,0,0
u_Hearing_Loss,0.6699999999999999,0.77,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Hearing_Loss,0.6699999999999999,0.77,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Hearing_Loss,0.6699999999999999,0.77,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Renal_Failure,0.7699999999999999,0.87,MenC,2670.139060542352,2670.139060542352,0,0
u_Renal_Failure,0.7699999999999999,0.87,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Renal_Failure,0.7699999999999999,0.87,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Renal_Failure,0.7699999999999999,0.87,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Seizure,0.7799999999999999,0.88,MenC,2670.139060542352,2670.139060542352,0,0
u_Seizure,0.7799999999999999,0.88,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Seizure,0.7799999999999999,0.88,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Seizure,0.7799999999999999,0.88,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
u_Paralysis,0.21000000000000002,0.31,MenC,2670.139060542352,2670.139060542352,0,0
u_Paralysis,0.21000000000000002,0.31,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
u_Paralysis,0.21000000000000002,0.31,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
u_Paralysis,0.21000000000000002,0.31,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Scarring,9531.9,17702.100000000002,MenC,2670.139060542352,2670.139060542352,0,0
c_Scarring,9531.9,17702.100000000002,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Scarring,9531.9,17702.100000000002,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Scarring,9531.9,17702.100000000002,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Single_Amput,26730.899999999998,49643.1,MenC,2670.139060542352,2670.139060542352,0,0
c_Single_Amput,26730.899999999998,49643.1,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Single_Amput,26730.899999999998,49643.1,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Single_Amput,26730.899999999998,49643.1,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Multiple_Amput,46200,85800,MenC,2670.139060542352,2670.139060542352,0,0
c_Multiple_Amput,46200,85800,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Multiple_Amput,46200,85800,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Multiple_Amput,46200,85800,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Neuro_Disab,10950.8,20337.2,MenC,2670.139060542352,2670.139060542352,0,0
c_Neuro_Disab,10950.8,20337.2,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Neuro_Disab,10950.8,20337.2,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Neuro_Disab,10950.8,20337.2,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Hearing_Loss,17565.1,32620.9,MenC,2670.139060542352,2670.139060542352,0,0
c_Hearing_Loss,17565.1,32620.9,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Hearing_Loss,17565.1,32620.9,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Hearing_Loss,17565.1,32620.9,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Renal_Failure,12704.3,23593.7,MenC,2670.139060542352,2670.139060542352,0,0
c_Renal_Failure,12704.3,23593.7,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Renal_Failure,12704.3,23593.7,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Renal_Failure,12704.3,23593.7,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Seizure,9417.8,17490.2,MenC,2670.139060542352,2670.139060542352,0,0
c_Seizure,9417.8,17490.2,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Seizure,9417.8,17490.2,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Seizure,9417.8,17490.2,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_Paralysis,7000,13000,MenC,2670.139060542352,2670.139060542352,0,0
c_Paralysis,7000,13000,MenACWY,5316.6167802456985,5316.6167802456985,2646.4777197033463,2646.4777197033463
c_Paralysis,7000,13000,MenACWY_MenB,20942.786290283464,20942.786290283464,18272.647229741113,18272.647229741113
c_Paralysis,7000,13000,MenABCWY,7082.760068830038,7082.760068830038,4412.621008287686,4412.621008287686
c_admin,11.76,17.639999999999997,MenC,2583.507060542352,2756.771060542352,0,0
c_admin,11.76,17.639999999999997,MenACWY,5229.984780245698,5403.248780245698,2646.477719703346,2646.477719703346
c_admin,11.76,17.639999999999997,MenACWY_MenB,20642.12946822166,21243.443112345267,18058.622407679308,18486.672051802914
c_admin,11.76,17.639999999999997,MenABCWY,6996.128068830038,7169.392068830038,4412.621008287686,4412.621008287686
